Peak_Chr	Peak_Start	Peak_End	Feature_Chr	Feature_RegulatoryRegion_Begin	Feature_RegulatoryRegion_End	Feature_Name	FeatureOverlapToPeak
chr1	55085856	55086392	chr1	55083682	55089322	Sf3b1	536
chr1	55144666	55145379	chr1	55139991	55145491	Hspe1	713
chr1	55144666	55145379	chr1	55144122	55149776	Hspd1	713
chr1	55187688	55188400	chr1	55183088	55188588	Mobkl3	712
chr1	55293824	55294301	chr1	55289020	55294520	Mars2	477
chr1	57433873	57434707	chr1	57429463	57434963	1700066M21Rik	834
chr1	58449242	58449927	chr1	58444979	58450479	Bzw1	685
chr1	58450315	58450975	chr1	58444979	58450479	Bzw1	164
chr1	58479865	58480554	chr1	58480263	58485932	Clk1	291
chr1	58501941	58503048	chr1	58499476	58504976	Nif3l1	1107
chr1	58501941	58503048	chr1	58501489	58507330	Ppil3	1107
chr1	58501941	58503048	chr1	58501675	58507330	Ppil3	1107
chr1	58642968	58643609	chr1	58638442	58643942	Ndufb3	641
chr1	58642968	58643609	chr1	58642555	58648177	Fam126b	641
chr1	58769171	58770192	chr1	58765129	58770629	Cflar	1021
chr1	58853971	58854584	chr1	58854345	58859845	Casp8	239
chr1	59176378	59176893	chr1	59176046	59181650	Als2cr4	515
chr1	59176378	59176893	chr1	59176295	59181940	Als2cr4	515
chr1	59219819	59220258	chr1	59217875	59223480	Mpp4	439
chr1	59219819	59220258	chr1	59219051	59225233	Mpp4	439
chr1	59727490	59727790	chr1	59727023	59732678	Sumo1	300
chr1	59741453	59741988	chr1	59736849	59742349	Nop58	535
chr1	59820022	59820439	chr1	59816480	59821980	Bmpr2	417
chr1	60236897	60237823	chr1	60232442	60237942	Nbeal1	926
chr1	60399737	60400591	chr1	60395215	60400715	Cyp20a1	854
chr1	60623586	60623857	chr1	60622908	60628609	Raph1	271
chr1	60626086	60626565	chr1	60622908	60628609	Raph1	479
chr1	64168449	64169263	chr1	64166973	64172963	Klf7	814
chr1	64578143	64578861	chr1	64574377	64579877	Creb1	718
chr1	64579062	64579681	chr1	64574377	64579877	Creb1	619
chr1	65224599	65225249	chr1	65225063	65230716	Idh1	186
chr1	65232018	65232313	chr1	65228258	65233758	Pikfyve	295
chr1	65232777	65233602	chr1	65228258	65233758	Pikfyve	825
chr1	65232777	65233602	chr1	65232378	65238053	Idh1	825
chr1	66746871	66747531	chr1	66742466	66747966	Rpe	660
chr1	66862525	66864742	chr1	66863447	66869169	1110028C15Rik	1295
chr1	67085293	67086145	chr1	67084568	67090446	Lancl1	852
chr1	67085293	67086145	chr1	67084845	67090408	Lancl1	852
chr1	67085293	67086145	chr1	67084849	67090446	Lancl1	852
chr1	69735566	69735960	chr1	69731767	69737534	Ikzf2	394
chr1	69869256	69869529	chr1	69868561	69874061	Spag16	273
chr1	71148725	71149892	chr1	71148741	71154546	Bard1	1151
chr1	71152282	71152720	chr1	71148741	71154546	Bard1	438
chr1	71603284	71604255	chr1	71598729	71604229	Atic	945
chr1	72629613	72630352	chr1	72624824	72630324	Smarcal1	711
chr1	74282737	74283210	chr1	74278123	74283623	Arpc2	473
chr1	74419872	74420462	chr1	74416776	74422276	Slc11a1	590
chr1	74433318	74433811	chr1	74433182	74438682	Ctdsp1	493
chr1	74436395	74437478	chr1	74433182	74438682	Ctdsp1	1083
chr1	74436395	74437478	chr1	74435883	74441383	Mir26b	1083
chr1	74437870	74438308	chr1	74433182	74438682	Ctdsp1	438
chr1	74437870	74438308	chr1	74435883	74441383	Mir26b	438
chr1	75138598	75140034	chr1	75138131	75143942	1810031K17Rik	1436
chr1	75138598	75140034	chr1	75134359	75139859	Fam134a	1261
chr1	75175766	75177186	chr1	75175643	75181857	Abcb6	1420
chr1	75184431	75185098	chr1	75183708	75189208	Ankzf1	667
chr1	75188466	75189189	chr1	75187897	75193497	Atg9a	723
chr1	75188466	75189189	chr1	75183708	75189208	Ankzf1	723
chr1	75209691	75210133	chr1	75206665	75212353	Glb1l	442
chr1	75233030	75233566	chr1	75227997	75233497	Dnajb2	467
chr1	75233030	75233566	chr1	75228276	75233776	Dnajb2	536
chr1	75473574	75474000	chr1	75471106	75476606	Tmem198	426
chr1	78654247	78655136	chr1	78649399	78654899	Acsl3	652
chr1	78654247	78655136	chr1	78649399	78654899	Utp14b	652
chr1	78654247	78655136	chr1	78650014	78655514	Utp14b	889
chr1	79667863	79668680	chr1	79667924	79673547	Ap1s3	756
chr1	79758239	79758621	chr1	79757638	79763344	Wdfy1	382
chr1	82835372	82836486	chr1	82831057	82836557	Agfg1	1114
chr1	87632193	87632592	chr1	87632546	87638181	A630001G21Rik	46
chr1	87788582	87789428	chr1	87786084	87791584	Itm2c	846
chr1	87918329	87918854	chr1	87913516	87919016	Spata3	525
chr1	88051086	88051462	chr1	88046354	88051854	Armc9	376
chr1	88051086	88051462	chr1	88046389	88051889	Armc9	376
chr1	88197283	88198257	chr1	88194795	88200295	B3gnt7	974
chr1	88283829	88284121	chr1	88283387	88289716	Nmur1	292
chr1	88421525	88422178	chr1	88418310	88423810	Ptma	653
chr1	88479017	88479930	chr1	88478374	88484076	Pde6d	913
chr1	88479017	88479930	chr1	88478674	88484174	Cops7b	913
chr1	88600229	88600625	chr1	88595378	88600878	Dis3l2	396
chr1	89155768	89155967	chr1	89155938	89161438	Efhd1	29
chr1	89652308	89652628	chr1	89647645	89653145	Atg16l1	320
chr1	90598712	90599064	chr1	90594300	90603766	Arl4c	352
chr1	91826603	91827082	chr1	91826307	91832751	Gbx2	479
chr1	92099070	92099440	chr1	92095577	92101077	Cxcr7	370
chr1	92100497	92101195	chr1	92095577	92101077	Cxcr7	580
chr1	92845701	92846193	chr1	92844684	92850184	Prlh	492
chr1	92945817	92946438	chr1	92945020	92950520	Lrrfip1	621
chr1	92949238	92949899	chr1	92945020	92950520	Lrrfip1	661
chr1	93146565	93147058	chr1	93141895	93147395	Ube2f	493
chr1	93191496	93191964	chr1	93189914	93195414	Scly	468
chr1	93294967	93295275	chr1	93294727	93300360	Ilkap	308
chr1	93309837	93310410	chr1	93309133	93314799	Hes6	573
chr1	93355632	93356460	chr1	93355249	93360905	Per2	828
chr1	93435964	93437336	chr1	93432141	93437641	Asb1	1372
chr1	93435964	93437336	chr1	93432656	93438156	Asb1	1372
chr1	94545430	94545801	chr1	94544827	94550418	Otos	371
chr1	94548766	94549558	chr1	94544827	94550418	Otos	792
chr1	94802285	94802507	chr1	94798565	94804065	Dusp28	222
chr1	94802285	94802507	chr1	94798906	94804483	Ankmy1	222
chr1	94830231	94832267	chr1	94825984	94831484	Capn10	1253
chr1	95239095	95240459	chr1	95235221	95240721	Ppp1r7	1364
chr1	95239095	95240459	chr1	95238602	95244365	Pask	1364
chr1	95374747	95375731	chr1	95374789	95380385	Hdlbp	942
chr1	95374747	95375731	chr1	95370569	95376069	2-Sep	984
chr1	95374747	95375731	chr1	95370637	95376137	2-Sep	984
chr1	95376013	95376525	chr1	95374789	95380385	Hdlbp	512
chr1	95376013	95376525	chr1	95370569	95376069	2-Sep	56
chr1	95376013	95376525	chr1	95370637	95376137	2-Sep	124
chr1	95531859	95533035	chr1	95531623	95537304	Stk25	1176
chr1	95651352	95652075	chr1	95650533	95656415	Thap4	723
chr1	95651352	95652075	chr1	95646609	95652109	Atg4b	723
chr1	95698286	95699252	chr1	95695541	95701041	Ing5	966
chr1	95698286	95699252	chr1	95697774	95703511	Dtymk	966
chr1	95699488	95699896	chr1	95695541	95701041	Ing5	408
chr1	95699488	95699896	chr1	95697774	95703511	Dtymk	408
chr1	95700116	95700563	chr1	95695541	95701041	Ing5	447
chr1	95700116	95700563	chr1	95697774	95703511	Dtymk	447
chr1	95700791	95701154	chr1	95695541	95701041	Ing5	250
chr1	95700791	95701154	chr1	95697774	95703511	Dtymk	363
chr1	95701737	95702245	chr1	95697774	95703511	Dtymk	508
chr1	95721361	95722387	chr1	95716816	95722316	D2hgdh	955
chr1	97210132	97210966	chr1	97205204	97210704	Fam174a	572
chr1	97564036	97564873	chr1	97563225	97569171	St8sia4	837
chr1	99665685	99667011	chr1	99665931	99671669	Ppip5k2	1080
chr1	99665685	99667011	chr1	99661755	99667255	Gin1	1326
chr1	99991953	99992261	chr1	99991561	99997209	Pam	308
chr1	107559584	107560767	chr1	107555437	107560937	2310035C23Rik	1183
chr1	107559584	107560767	chr1	107559576	107565253	Pign	1183
chr1	108693170	108693506	chr1	108692497	108698302	Vps4b	336
chr1	120284692	120286179	chr1	120280634	120286134	Clasp1	1442
chr1	120355388	120356071	chr1	120354745	120360842	2900060B14Rik	683
chr1	121400998	121401786	chr1	121400653	121406359	Ralb	788
chr1	121421892	121422327	chr1	121417743	121423243	Tmem185b	435
chr1	121422684	121423273	chr1	121417743	121423243	Tmem185b	559
chr1	122161080	122162501	chr1	122161308	122166857	Steap3	1193
chr1	123227893	123228277	chr1	123223767	123229339	Insig2	384
chr1	127331988	127332752	chr1	127331361	127337067	Actr3	764
chr1	127456481	127457158	chr1	127452592	127458092	Slc35f5	677
chr1	129101645	129102003	chr1	129096562	129102062	Mgat5	358
chr1	129669690	129670738	chr1	129665740	129671240	Ccnt2	1048
chr1	129999242	129999998	chr1	129994882	130000382	R3hdm1	756
chr1	129999242	129999998	chr1	129998329	130003985	Zranb3	756
chr1	130140399	130141183	chr1	130135757	130141257	Ubxn4	784
chr1	130223740	130224442	chr1	130223734	130229895	Lct	702
chr1	130256077	130256769	chr1	130255535	130261233	Mcm6	692
chr1	130313402	130314057	chr1	130313228	130318993	Dars	655
chr1	132993400	132993801	chr1	132993365	132999120	Mapkapk2	401
chr1	133421702	133422034	chr1	133419565	133425065	Fam72a	332
chr1	133423159	133423486	chr1	133419565	133425065	Fam72a	327
chr1	133423159	133423486	chr1	133423309	133428938	Srgap2	177
chr1	133425236	133425773	chr1	133423309	133428938	Srgap2	537
chr1	133534842	133535144	chr1	133529890	133535390	Ctse	302
chr1	133635405	133635852	chr1	133635598	133641098	Slc26a9	254
chr1	133724454	133724703	chr1	133719588	133725088	Slc41a1	249
chr1	133804924	133805476	chr1	133802034	133807534	Nucks1	552
chr1	133904335	133905253	chr1	133899181	133904681	Elk4	346
chr1	134190439	134190824	chr1	134190202	134195702	Klhdc8a	385
chr1	134373228	134373915	chr1	134368943	134374443	Rbbp5	687
chr1	134926368	134926680	chr1	134921324	134926925	Mdm4	312
chr1	135027405	135028298	chr1	135022742	135028242	Ppp1r15b	837
chr1	135220989	135221260	chr1	135218788	135224288	Kiss1	271
chr1	135506729	135507150	chr1	135506240	135511857	Snrpe	421
chr1	135557839	135558229	chr1	135551955	135562462	Zbed6	390
chr1	135557839	135558229	chr1	135557313	135562957	Zc3h11a	390
chr1	135973957	135974990	chr1	135974988	135980732	Btg2	2
chr1	136257891	136258227	chr1	136257838	136263576	Tmem183a	336
chr1	136311856	136312192	chr1	136307043	136312543	Adipor1	336
chr1	136351642	136352187	chr1	136347131	136352631	Klhl12	545
chr1	136387955	136388306	chr1	136386236	136391736	Rabif	351
chr1	136453533	136454125	chr1	136451754	136457254	Kdm5b	592
chr1	136858875	136859491	chr1	136854153	136859653	Ube2t	616
chr1	137025523	137025845	chr1	137024301	137029801	Ptpn7	322
chr1	137027476	137028004	chr1	137024301	137029801	Ptpn7	528
chr1	137029061	137029870	chr1	137024301	137029801	Ptpn7	740
chr1	137029061	137029870	chr1	137028596	137034152	Ptprv	809
chr1	137064167	137064448	chr1	137062951	137069258	Gpr37l1	281
chr1	137158947	137159193	chr1	137154425	137160049	Elf3	246
chr1	137326900	137327246	chr1	137326344	137332068	Ipo9	346
chr1	138242442	138243562	chr1	138241375	138247681	Camsap1l1	1120
chr1	138520787	138521612	chr1	138516477	138521977	Zfp281	825
chr1	140863982	140864432	chr1	140859297	140864797	Dennd1b	450
chr1	141319173	141319503	chr1	141313959	141319459	Zbtb41	286
chr1	145624249	145625306	chr1	145623550	145629181	Trove2	1057
chr1	145624249	145625306	chr1	145619407	145624907	Uchl5	658
chr1	145849707	145851451	chr1	145850638	145856279	Rgs2	813
chr1	145853679	145854100	chr1	145850638	145856279	Rgs2	421
chr1	146095447	146096546	chr1	146095530	146101234	Rgs1	1016
chr1	146622470	146622855	chr1	146621752	146627551	Rgs18	385
chr1	151946944	151947327	chr1	151946057	151951896	7530420F21Rik	383
chr1	151946944	151947327	chr1	151942253	151947753	Ptgs2	383
chr1	152239603	152240161	chr1	152234967	152240467	Tpr	558
chr1	152239603	152240161	chr1	152239319	152245185	BC003331	558
chr1	152242973	152243441	chr1	152239319	152245185	BC003331	468
chr1	153275559	153275920	chr1	153274926	153280565	1200016B10Rik	361
chr1	153275559	153275920	chr1	153270777	153276277	1190005F20Rik	361
chr1	153600594	153601535	chr1	153597503	153603003	Edem3	941
chr1	154233635	154233894	chr1	154233088	154238812	Tsen15	259
chr1	154613344	154614335	chr1	154608671	154614171	Arpc5	827
chr1	154651356	154651760	chr1	154650019	154655519	Ncf2	404
chr1	154750073	154751262	chr1	154749138	154754776	Smg7	1189
chr1	155260719	155262925	chr1	155260774	155266363	E330020D12Rik	2151
chr1	155334684	155335005	chr1	155334162	155339790	Dhx9	321
chr1	156993769	156994264	chr1	156993261	156998910	Mr1	495
chr1	157404777	157405519	chr1	157400249	157405749	Acbd6	742
chr1	157820454	157821088	chr1	157819478	157825385	Cep350	634
chr1	157883037	157883956	chr1	157877793	157883293	Tor1aip2	256
chr1	157883037	157883956	chr1	157877856	157883356	Tor1aip2	319
chr1	157883037	157883956	chr1	157878165	157883665	Tor1aip2	628
chr1	157883037	157883956	chr1	157881310	157886947	Tor1aip1	919
chr1	157883037	157883956	chr1	157882387	157888610	Tor1aip1	919
chr1	157883037	157883956	chr1	157882990	157888490	Tor1aip2	919
chr1	158403996	158405094	chr1	158403778	158409459	Soat1	1098
chr1	158648140	158649561	chr1	158648496	158654041	Fam20b	1065
chr1	159341099	159341382	chr1	159337482	159342982	2810025M15Rik	283
chr1	159341099	159341382	chr1	159341367	159347726	Rasal2	15
chr1	162143046	162143457	chr1	162142277	162147908	Cacybp	411
chr1	162965131	162967129	chr1	162960296	162965796	Gas5	665
chr1	162965131	162967129	chr1	162963222	162968722	Snord47	1998
chr1	162965131	162967129	chr1	162963718	162969390	Zbtb37	1998
chr1	163000172	163001187	chr1	162996022	163001522	Cenpl	1015
chr1	163000172	163001187	chr1	162999623	163005763	Dars2	1015
chr1	163181127	163181850	chr1	163180652	163186297	Prdx6	723
chr1	163806854	163807521	chr1	163805941	163811792	AI848100	667
chr1	164478505	164479203	chr1	164477734	164483476	Mettl13	698
chr1	164670495	164670932	chr1	164669955	164675687	Bat2l2	437
chr1	165709661	165710091	chr1	165704809	165710309	Kifap3	430
chr1	167123230	167124100	chr1	167123870	167129564	Sft2d2	230
chr1	167166110	167166683	chr1	167166360	167172089	Tiprl	323
chr1	167166890	167167212	chr1	167166360	167172089	Tiprl	322
chr1	167390592	167391655	chr1	167386338	167391838	Brp44	1063
chr1	167390592	167391655	chr1	167389761	167395594	Dcaf6	1063
chr1	167564409	167565058	chr1	167563933	167569672	Mpzl1	649
chr1	167639132	167640158	chr1	167637521	167643225	Rcsd1	1026
chr1	167642100	167642409	chr1	167637521	167643225	Rcsd1	309
chr1	167932841	167933363	chr1	167932192	167937765	Pou2f1	522
chr1	168339790	168340555	chr1	168339337	168344959	Pogk	765
chr1	169218526	169219659	chr1	169214406	169220258	Uck2	1133
chr1	171461403	171461878	chr1	171460952	171466595	Nuf2	475
chr1	171899273	171899859	chr1	171898728	171904336	Hsd17b7	586
chr1	172105012	172105574	chr1	172104380	172110077	Uap1	562
chr1	172148657	172148968	chr1	172144603	172150524	Uhmk1	311
chr1	172203445	172203753	chr1	172202454	172207954	Sh2d1b1	308
chr1	172207115	172207477	chr1	172202454	172207954	Sh2d1b1	362
chr1	172797795	172798240	chr1	172797280	172802902	Atf6	445
chr1	172798592	172799042	chr1	172797280	172802902	Atf6	450
chr1	172908816	172909212	chr1	172905531	172911202	Fcgr2b	396
chr1	172989315	172990023	chr1	172988899	172994534	Fcgr3	708
chr1	172990288	172990763	chr1	172988899	172994534	Fcgr3	475
chr1	172991446	172992106	chr1	172988899	172994534	Fcgr3	660
chr1	173164279	173164689	chr1	173163827	173169480	Fcer1g	410
chr1	173217520	173218373	chr1	173217392	173223092	Usp21	853
chr1	173276284	173276565	chr1	173270829	173276329	Pfdn2	45
chr1	173276284	173276565	chr1	173275166	173280776	Nit1	281
chr1	173276284	173276565	chr1	173275198	173280776	Nit1	281
chr1	173318902	173319251	chr1	173314090	173319590	Arhgap30	349
chr1	173341143	173341588	chr1	173336811	173342311	Usf1	445
chr1	173432540	173434473	chr1	173428608	173434108	Refbp2	1568
chr1	173489131	173489545	chr1	173484323	173489823	Cd244	414
chr1	173537182	173537767	chr1	173536830	173542491	Ly9	585
chr1	173538521	173538837	chr1	173536830	173542491	Ly9	316
chr1	173607904	173608202	chr1	173607185	173612685	Cd48	298
chr1	174056248	174057455	chr1	174051885	174057385	Pex19	1137
chr1	174239685	174242324	chr1	174237537	174243037	Igsf8	2639
chr1	174306426	174306739	chr1	174301661	174307161	Pigm	313
chr1	175697415	175697772	chr1	175696441	175702050	Ifi204	357
chr1	175843476	175843723	chr1	175842444	175848053	Mnda	247
chr1	175999737	176000017	chr1	175994430	175999930	Olfr430	193
chr1	176088705	176089752	chr1	176083852	176089352	Olfr420	647
chr1	176295006	176295509	chr1	176294049	176299549	Olfr417	503
chr1	178744084	178744927	chr1	178739942	178745442	Sdccag8	843
chr1	179371919	179372261	chr1	179369791	179375291	Zfp238	342
chr1	179371919	179372261	chr1	179370951	179376451	Zfp238	342
chr1	179726633	179727224	chr1	179725842	179731640	Adss	591
chr1	180248620	180249788	chr1	180244283	180249783	Fam36a	1163
chr1	180266271	180266893	chr1	180266583	180272915	Hnrnpu	310
chr1	180267725	180268292	chr1	180266583	180272915	Hnrnpu	567
chr1	180270054	180270313	chr1	180266583	180272915	Hnrnpu	259
chr1	180336283	180337071	chr1	180331011	180336511	Efcab2	228
chr1	181598165	181598385	chr1	181593361	181598861	Sccpdh	220
chr1	182178974	182179390	chr1	182175494	182181046	Psen2	416
chr1	182186085	182186680	chr1	182185853	182191431	Psen2	595
chr1	182653861	182654240	chr1	182651173	182656673	Acbd3	379
chr1	182780631	182781484	chr1	182776281	182781781	BC031781	853
chr1	182870764	182871282	chr1	182867648	182873148	Tmem63a	518
chr1	183073852	183074941	chr1	183073681	183079288	Nvl	1089
chr1	183079493	183079913	chr1	183076061	183081561	Cnih4	420
chr1	183080699	183081207	chr1	183076061	183081561	Cnih4	508
chr1	183772033	183772824	chr1	183771918	183777532	Lbr	791
chr1	183773118	183773473	chr1	183771918	183777532	Lbr	355
chr1	184213415	184213927	chr1	184212252	184217890	Degs1	512
chr1	184228901	184229179	chr1	184225964	184231464	1700047M11Rik	278
chr1	185857660	185858525	chr1	185853339	185858839	Dusp10	865
chr1	185857660	185858525	chr1	185856410	185862877	1700056E22Rik	865
chr1	186669572	186670165	chr1	186668924	186674726	Mosc2	593
chr1	186710031	186710404	chr1	186706064	186711915	C130074G19Rik	373
chr1	187027647	187028179	chr1	187023046	187028546	Rab3gap2	532
chr1	187186572	187187771	chr1	187181973	187187473	Eprs	901
chr1	188572998	188573723	chr1	188572542	188578237	Rrp15	725
chr1	192751660	192752634	chr1	192747423	192752923	Angel2	974
chr1	192850077	192850751	chr1	192848755	192855069	Mfsd7b	674
chr1	192886217	192887221	chr1	192881899	192887399	Nsl1	1004
chr1	192886217	192887221	chr1	192886179	192891811	Tatdn3	1004
chr1	192921038	192921736	chr1	192917292	192922792	Batf3	698
chr1	193141675	193142090	chr1	193141297	193146997	Nenf	415
chr1	193149490	193150108	chr1	193144843	193150343	Tmem206	618
chr1	193221455	193221807	chr1	193219614	193225920	Ppp2r5a	352
chr1	193399283	193400299	chr1	193398727	193404413	Dtl	1016
chr1	193399283	193400299	chr1	193394612	193400112	Ints7	829
chr1	193731428	193731996	chr1	193730438	193736406	1700034H15Rik	568
chr1	193916243	193917205	chr1	193915636	193921445	Traf5	962
chr1	194864174	194864495	chr1	194861316	194866892	Syt14	321
chr1	194999062	195000109	chr1	194994662	195000162	A130010J15Rik	1047
chr1	194999062	195000109	chr1	194994770	195000270	A130010J15Rik	1047
chr1	195089606	195090586	chr1	195089641	195095239	Hsd11b1	945
chr1	196802331	196802765	chr1	196801797	196808153	C030002c11rik	434
chr10	3134435	3134983	chr10	3129303	3134803	Cnksr3	368
chr10	5913787	5914891	chr10	5909188	5914688	Rmnd1	901
chr10	5913787	5914891	chr10	5912374	5917874	Gm5512	1104
chr10	5913787	5914891	chr10	5913329	5918936	1700052N19Rik	1104
chr10	5917022	5917273	chr10	5912374	5917874	Gm5512	251
chr10	5917022	5917273	chr10	5913329	5918936	1700052N19Rik	251
chr10	6372523	6373487	chr10	6372562	6378466	Mthfd1l	925
chr10	6809116	6809413	chr10	6805579	6811262	Iyd	297
chr10	7382169	7383374	chr10	7378168	7383668	A630066F11Rik	1205
chr10	7382169	7383374	chr10	7382301	7387801	Nup43	1073
chr10	7382169	7383374	chr10	7382372	7388382	Pcmt1	1002
chr10	7400231	7401072	chr10	7396006	7401506	Lats1	841
chr10	7400231	7401072	chr10	7398268	7405956	BC020402	841
chr10	7512567	7512974	chr10	7507691	7513191	Ppil4	407
chr10	8610443	8610661	chr10	8605021	8610868	Sash1	218
chr10	9620846	9622055	chr10	9619828	9625838	Stxbp5	1209
chr10	11000249	11001117	chr10	10996127	11001627	Fbxo30	868
chr10	11000249	11001117	chr10	10996384	11001884	Fbxo30	868
chr10	13272085	13273251	chr10	13272131	13277948	Pex3	1120
chr10	13272085	13273251	chr10	13267712	13273212	Adat2	1127
chr10	17440167	17440384	chr10	17438033	17443533	Cited2	217
chr10	17442514	17443552	chr10	17438033	17443533	Cited2	1019
chr10	18735018	18735748	chr10	18730786	18736769	Tnfaip3	730
chr10	18735018	18735748	chr10	18734458	18740216	Tnfaip3	730
chr10	19311125	19311970	chr10	19306763	19312263	Ifngr1	845
chr10	20067203	20068265	chr10	20062624	20068124	Fam54a	921
chr10	20880672	20881495	chr10	20880001	20885790	Myb	823
chr10	23506942	23507951	chr10	23506461	23512015	Rps12	1009
chr10	29029553	29030270	chr10	29027971	29033471	Echdc1	717
chr10	29029553	29030270	chr10	29028305	29033805	Echdc1	717
chr10	29919900	29920714	chr10	29919666	29925346	Cenpw	814
chr10	30380324	30381575	chr10	30374942	30380673	Ncoa7	349
chr10	33670855	33671335	chr10	33670436	33676018	Zufsp	480
chr10	33739309	33739822	chr10	33738671	33744422	Rwdd1	513
chr10	33851214	33851523	chr10	33846696	33852778	Fam26f	309
chr10	34000409	34002151	chr10	33996995	34002495	Tspyl1	1742
chr10	34017108	34017425	chr10	34012226	34017726	Tspyl4	317
chr10	34137752	34138370	chr10	34137666	34143334	Nt5dc1	618
chr10	38853263	38853900	chr10	38848828	38854328	Tube1	637
chr10	38853263	38853900	chr10	38853128	38858701	1700025K23Rik	637
chr10	39089194	39089589	chr10	39084604	39090104	Fyn	395
chr10	39333027	39333355	chr10	39327739	39333239	Traf3ip2	212
chr10	39451560	39451792	chr10	39446965	39452465	Rev3l	232
